#Study : ASU&adidas Session 1 - High
#Date : 20170917 21:33:01
#Version : 6.4.8223.4
#TestRunDate : 20170826 14:04:47.708 (-07:00)
#Tracker : Model-Tobii X2 @60Hz, Freq-60Hz, Screen Size(cms)-{Width=33.7, Height=27}, Screen Res-{Width=1920, Height=1200}, Distance(Resp)-70cm 

StudyName	ExportDate	Name	Age	Gender	StimuliBlock	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	Timestamp RAW (no units) (Shimmer Sensor)	Timestamp CAL (mSecs) (Shimmer Sensor)	VSenseBatt RAW (no units) (Shimmer Sensor)	VSenseBatt CAL (mVolts) (Shimmer Sensor)	GSR RAW (no units) (Shimmer Sensor)	GSR CAL (kOhms) (Shimmer Sensor)	GSR CAL (µSiemens) (Shimmer Sensor)	Packet reception rate RAW (no units) (Shimmer Sensor)	GSR Quality (Shimmer Sensor)	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704221				13624611	1412710.9375	2738	3987.65128205128	1139	57.1650698557154	17.4932	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704221				13624867	1412718.75	2746	3999.30256410256	1139	57.1650698557154	17.4932	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704235				13625123	1412726.5625	2745	3997.84615384615	1138	57.287220939625	17.4559	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704246				13625379	1412734.375	2749	4003.67179487179	1138	57.287220939625	17.4559	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704246				13625635	1412742.1875	2736	3984.73846153846	1138	57.287220939625	17.4559	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704253				13625891	1412750	2743	3994.93333333333	1138	57.287220939625	17.4559	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704271				13626147	1412757.8125	2750	4005.1282051282	1137	57.4098951695314	17.4186	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704274				13626403	1412765.625	2750	4005.1282051282	1137	57.4098951695314	17.4186	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704289				13626659	1412773.4375	2739	3989.10769230769	1137	57.4098951695314	17.4186	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704289				13626915	1412781.25	2743	3994.93333333333	1137	57.4098951695314	17.4186	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704292				13627171	1412789.0625	2737	3986.19487179487	1137	57.4098951695314	17.4186	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704320				13627427	1412796.875	2750	4005.1282051282	1136	57.5330959134242	17.3813	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704320				13627683	1412804.6875	2738	3987.65128205128	1136	57.5330959134242	17.3813	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704324				13627939	1412812.5	2738	3987.65128205128	1136	57.5330959134242	17.3813	100	VALID						
